date,permit_id,permit_type,project_name,address,parcel,source,risk_class,lat,lon,weather_risk,base_score,weather_multiplier,time_decay,composite_score,risk_tier
2026-02-23,GRD-CM26-013,Grading/Site Plan (Commercial/Apartments),Acton Academy Expansion,163 N 300 W,SG-519-A-1,grading,HIGH,37.1088441,-113.5897045,0,3.0,1.0,0.936986301369863,2.8109589041095893,Larvicide
2026-02-23,SUBMGRD-CM26-006,Grading/Site Plan (Commercial/Apartments),Scholzen Products Showroom,"710 North 1300  East  St.George UT, 84770",SG-IND-P-3,grading,HIGH,37.1196234,-113.5552634,0,3.0,1.0,0.936986301369863,2.8109589041095893,Larvicide
2026-02-23,26-0378,Single Family,Cecita Crest  136,2970 W Lesina Heights DR,SG-CCD-3-136,building,MEDIUM,,,0,2.0,1.0,0.936986301369863,1.873972602739726,Monitor
2026-02-23,26-0377,Retaining Wall - Rock or Segmental Block,Best Parts House,929 E Factory DR,SG-5-3-20-440,building,MEDIUM,37.0329055,-113.5663392,0,2.0,1.0,0.936986301369863,1.873972602739726,Monitor
2026-02-23,26-0379,Mechanical,272 W HUMMINGBIRD DR - HVAC,1272 W HUMMINGBIRD DR,SG-PDCN-3-150,building,LOW,,,0,1.0,1.0,0.936986301369863,0.936986301369863,Monitor
2026-02-23,26-0380,Mechanical,2293 E Panorama PKWY - HVAC,2293 E PANORAMA PKWY,SG-SACS-5-70,building,LOW,37.1210673,-113.5376137,0,1.0,1.0,0.936986301369863,0.936986301369863,Monitor
2026-02-20,26-0376,Single Family,Sage Haven 1507,6258 S Rock Rose DR,SG-SAH-15-1507,building,MEDIUM,,,0,2.0,1.0,0.9287671232876712,1.8575342465753424,Monitor
2026-02-20,26-0375,Plumbing,2356 E 130 N ST - Repipe,2356 E 130 N,SG-CA-4-82,building,LOW,37.1104913,-113.533431,0,1.0,1.0,0.9287671232876712,0.9287671232876712,Monitor
2026-02-19,26-0374,Carport,350 W MAN O WAR RD - Carport,350 W MAN O WAR RD,SG-BR-1-24,building,MEDIUM,37.0521793,-113.5945403,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0369,"Commercial Gas, Elect, Mech, Plumb",FedEx Freight - Electrical,496 N 1300 E ST,SG-IND-P-15-A,building,MEDIUM,37.1176387,-113.5565424,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0372,"Commercial Gas, Elect, Mech, Plumb",Goodsell Comercial Building A -  Electrical,1250 W Sunset BLVD UNIT A,SG-6-2-14-2003,building,MEDIUM,,,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0373,Single Family,Salarno Hills 65,2739 W Lugano WAY,SG-SHD-2-65,building,MEDIUM,,,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0371,Single Family,Valley View Heights 314,51 N 660 W ST,SG-VVH-3-314,building,MEDIUM,,,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0370,Commercial (New Build),Red Rock Office Building,1111 W Black Mountain DR,SG-6-3-26-114 ,building,HIGH,,,0,3.0,1.0,0.9260273972602739,2.778082191780822,Larvicide
2026-02-19,PLANGRD-CM26-007,Grading/Site Plan (Commercial/Apartments),WMT 3320 Fuel Station,2610 Pioneer Road,SG-NBCS-1,grading,HIGH,37.0634233,-113.587355,0,3.0,1.0,0.9260273972602739,2.778082191780822,Larvicide
2026-02-19,GRD-CM26-012,Grading/Site Plan (Commercial/Apartments),HOLIDAY INN EXPRESS (LOT 9 RIM ROCK),170 S street/1470 E Street,SG-RRCC-9,grading,HIGH,,,0,3.0,1.0,0.9260273972602739,2.778082191780822,Larvicide
2026-02-18,GRD-R26-004,Grading/Site Plan (Residential),Bryce Gurr Residence,1800 N St, SG-6-2-10-2309,grading,HIGH,37.1392872,-113.6333599,0,3.0,1.0,0.9232876712328767,2.76986301369863,Larvicide
2026-02-18,26-0361,Public,Suntran Fleet Building - New Commercial Building,433 E Brigham RD,BLM,building,HIGH,37.0576158,-113.5771385,0,3.0,1.0,0.9232876712328767,2.76986301369863,Larvicide
2026-02-18,26-0363,Commercial (New Build),Chase Bank -SRC,4616 S Pioneer RD,TBD ( Lot #1),building,HIGH,,,0,3.0,1.0,0.9232876712328767,2.76986301369863,Larvicide
2026-02-18,26-0365,Single Family,DESERT REFLECTIONS 328 B,5882 S Delorian LN,SG-DREF-3-328,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0364,Single Family,DESERT REFLECTIONS 109,4291 E CARRERA WAY,SG-DREF-1-109,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0362,Plumbing,301 S 1200 E ST 103 - Repipe ,301 S 1200 E #103,SG-MS-103,building,LOW,37.103863,-113.557841,0,1.0,1.0,0.9232876712328767,0.9232876712328767,Monitor
2026-02-18,26-0366,Single Family,Southern View Lot 322,5848 S LANSKY DR,SG-SVPD-3-322,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0367,Single Family,White Hills 114,1346 E HONEYCOMB CT,SG-WHL-114,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0368,Mechanical,705 E 1100 S ST - HVAC,705 E 1100 S ST,SG-SSD-11,building,LOW,37.0895934,-113.5609325,0,1.0,1.0,0.9232876712328767,0.9232876712328767,Monitor
2026-02-17,26-0360,Single Family,CECITA CREST AT DIVARIO 156,2969 W Varese WAY,SG-CCD-3-156,building,MEDIUM,,,0,2.0,1.0,0.9205479452054794,1.841095890410959,Monitor
2026-02-17,26-0358,Addition,1291 S 2580 E ST - Addition,1291 S 2580 E ST,SG-DIAS-1-B,building,MEDIUM,37.0913068,-113.5313449,0,2.0,1.0,0.9205479452054794,1.841095890410959,Monitor
2026-02-17,26-0359,Single Family,Crescent Pointe 6,2240 W Sunbrook DR UNIT 6,SG-CPTS-6,building,MEDIUM,,,0,2.0,1.0,0.9205479452054794,1.841095890410959,Monitor
2026-02-16,26-0357,Pool,520 W Par 3 CIR - Pool,520 Par 3 CIR,SG-FWH-39-A-1,building,MEDIUM,37.0702391,-113.5943811,0,2.0,1.0,0.9178082191780822,1.8356164383561644,Monitor
2026-02-15,26-0356,Accessory Building,1992 E Honeycomb DR - Detached Garage,1992 E Honeycomb DR,SG-SECN-11-217,building,MEDIUM,,,0,2.0,1.0,0.915068493150685,1.83013698630137,Monitor
2026-02-13,26-0355,Gas Line,875 W Rio Virgin DR 126 - Gas Line,875 Rio Virgin Dr #126,SG-VIN-5-126,building,LOW,,,0,1.0,1.0,0.9095890410958904,0.9095890410958904,Monitor
2026-02-13,26-0350,Multi-Family (townhome),Sage Haven 14 Bldg X  1445,888 W Camello LN,SG-SAH-14-1445,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0351,Multi-Family (townhome),Sage Haven 14 Bldg X 1446,892 W Camello LN,SG-SAH-14-1446,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0352,Multi-Family (townhome),Sage Haven 14 Bldg X 1447,896 W Camello LN,SG-SAH-14-1447,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0353,Multi-Family (townhome),Sage Haven 14 Bldg X 1448,900 W Camello LN,SG-SAH-14-1448,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0354,Multi-Family (townhome),Sage Haven 14 Bldg X 1449,904 W Camello LN,SG-SAH-14-1449,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0347,Single Family,Fieldstone 115,2115 E Tawny Ridge DR,SG-FLDS-6B-115,building,MEDIUM,,,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0349,Single Family,Moorland Park 136,2671 E Rosedale DR,SG-MOO-8-136,building,MEDIUM,,,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0348,Single Family,Moorland Park 168,2655 E Rosedale DR,SG-MOO-8-168,building,MEDIUM,,,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,PLANGRD-CM26-008,Grading/Site Plan (Commercial/Apartments),700 South Medical Office Building,75 W 700 S,"SG-1608-B, SG-1608-A-2-A-1, SG-1608-A-2-C-1",grading,HIGH,37.0962639,-113.566432,0,3.0,1.0,0.9095890410958904,2.728767123287671,Larvicide
2026-02-12,26-0313,Multi-Family (townhome),Viviano at Red Cliffs - 176 ,1083 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0314,Multi-Family (townhome),Viviano at Red Cliffs 177,1087 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0312,Multi-Family (townhome),Viviano at Red Cliffs 175 ,1079 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0310,Repair,473 N 2360 E ST - ReRoof,473 N 2360 E ST,SG-SURE-2-27,building,MEDIUM,37.1165464,-113.5338082,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0340,Multi-Family (townhome),Viviano at Red Cliffs - Shell  175-178 ,1079 - 1091 S QUARB LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0318,Multi-Family (townhome),Viviano at Red Cliffs  181,1084 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0317,Multi-Family (townhome),Viviano at Red Cliffs - 180 ,1088 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0343,Single Family,DESERT TRAILS 120,5922 S White Rim CT,SG-DTR-1-120,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0315,Multi-Family (townhome),Viviano at Red Cliffs - 178,1091 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
