site,risk_level,risk_label,mean_predicted,max_predicted,peak_risk_level,peak_risk_label,mean_actual,max_actual,weeks_predicted
HUR009,10,Outbreak,14.8,45.3,4,Moderate,21.9,135.0,49
WAS008,10,Outbreak,14.6,68.9,5,Moderate-High,25.5,238.0,108
SGE016,10,Outbreak,14.5,44.3,4,Moderate,17.3,84.0,55
SPR002,10,Outbreak,14.1,86.0,5,Moderate-High,18.8,216.0,65
AEG-574 N. 2330 E. STG,10,Outbreak,8.9,8.9,10,Outbreak,30.0,30.0,1
NHA002,10,Outbreak,8.9,18.7,2,Low,8.8,23.0,10
HUR007,10,Outbreak,8.4,50.3,4,Moderate,10.1,110.0,29
SGE008-2,10,Outbreak,8.4,43.1,4,Moderate,8.4,74.0,49
SGE017-EX,6,Elevated,110.8,200.2,10,Outbreak,356.2,958.0,4
SR-54 Shadow Mtn,4,Moderate,56.3,107.2,6,Elevated,122.5,292.0,8
SGE003-2,4,Moderate,54.8,105.2,6,Elevated,120.2,296.0,15
NHA003-2,4,Moderate,48.9,62.6,4,Moderate,125.0,137.0,2
WAS011,4,Moderate,48.0,198.8,7,High,148.2,1067.0,36
WAS002-EX,4,Moderate,46.0,64.7,10,Outbreak,47.5,70.0,4
SGE017,4,Moderate,44.3,163.9,7,High,137.9,929.0,109
IVI003,4,Moderate,40.3,229.3,8,Very High,75.6,431.0,37
EX-Mall Dr. Bridge,3,Low-Moderate,37.0,49.3,4,Moderate,49.0,72.0,4
HIL002,3,Low-Moderate,36.9,47.5,4,Moderate,45.8,87.0,4
SR-176 Shadow Pt,3,Low-Moderate,36.7,70.5,5,Moderate-High,74.6,166.0,7
SR-Judy's Pond,3,Low-Moderate,33.9,33.9,3,Low-Moderate,51.0,51.0,1
NHA003-1,3,Low-Moderate,28.3,87.1,10,Outbreak,29.2,65.0,8
SGE003,3,Low-Moderate,26.7,164.0,7,High,61.1,571.0,104
VIR008,3,Low-Moderate,25.9,131.3,6,Elevated,56.9,526.0,58
WAS001,3,Low-Moderate,25.8,203.0,8,Very High,71.7,942.0,77
WAS002,3,Low-Moderate,25.7,292.2,9,Severe,68.8,1471.0,104
LAV001,3,Low-Moderate,25.4,216.7,8,Very High,50.0,818.0,54
NHA003,3,Low-Moderate,24.8,81.1,5,Moderate-High,39.7,182.0,21
SR 54 Shadow Pt. Brooke Brown,3,Low-Moderate,23.4,30.4,3,Low-Moderate,43.0,64.0,2
SR-159 Shadow Pt,3,Low-Moderate,23.0,23.0,3,Low-Moderate,12.0,12.0,1
NHA001,3,Low-Moderate,22.7,47.0,4,Moderate,36.0,77.0,12
SR 545 E 200 S Evelyn,3,Low-Moderate,22.1,25.6,3,Low-Moderate,32.0,44.0,3
SR 54 Shadow Mtn. Brown,3,Low-Moderate,22.0,22.0,3,Low-Moderate,45.0,45.0,1
SGE013,2,Low,20.6,149.4,7,High,46.9,573.0,97
SGE002,2,Low,20.5,110.5,6,Elevated,44.4,612.0,78
ENT004,2,Low,20.4,28.3,3,Low-Moderate,28.7,41.0,3
IVI001,2,Low,20.4,58.3,4,Moderate,34.3,118.0,27
APV001,2,Low,19.2,47.5,4,Moderate,12.2,28.0,4
SCL004,2,Low,19.1,103.2,6,Elevated,35.8,299.0,100
SR 176 Shadow Point Lori Jennings,2,Low,18.8,23.4,3,Low-Moderate,17.5,18.0,2
HUR008,2,Low,17.9,121.4,6,Elevated,36.6,487.0,64
VIR004,2,Low,16.7,16.7,2,Low,4.0,4.0,1
SGE018,2,Low,16.3,98.3,6,Elevated,24.7,245.0,59
SR-545 E 200 S,2,Low,16.3,17.0,2,Low,34.0,47.0,2
WAS009,2,Low,15.8,74.4,5,Moderate-High,25.3,172.0,56
SCL006,1,Very Low,13.8,20.3,2,Low,9.7,12.0,3
SGE007,1,Very Low,13.3,53.0,4,Moderate,23.0,212.0,94
SCL001,1,Very Low,12.4,109.2,6,Elevated,18.4,268.0,71
SR 176 Shadow Pt. Lori,1,Very Low,12.1,12.1,1,Very Low,24.0,24.0,1
LEE003,1,Very Low,11.7,31.4,3,Low-Moderate,12.0,46.0,32
ENT003,1,Very Low,11.6,23.8,3,Low-Moderate,7.4,19.0,5
SGE014,1,Very Low,11.4,47.4,4,Moderate,15.8,104.0,87
SGE015,1,Very Low,11.3,34.3,3,Low-Moderate,11.7,49.0,51
HAR001-EX,1,Very Low,10.8,36.6,3,Low-Moderate,1.0,2.0,4
SGE010,1,Very Low,9.8,9.8,1,Very Low,2.0,2.0,1
SCL005,0,Negligible,7.3,31.2,3,Low-Moderate,6.4,40.0,56
SGE009-2,0,Negligible,7.0,29.5,3,Low-Moderate,7.0,41.0,83
SR-1042 W. 100 N. Shadow MTN,0,Negligible,6.9,6.9,0,Negligible,8.0,8.0,1
VIR006,0,Negligible,6.8,10.3,1,Very Low,1.0,2.0,2
TOQ001,0,Negligible,6.4,6.5,0,Negligible,4.5,6.0,2
WAS005,0,Negligible,6.3,16.0,2,Low,4.6,19.0,57
SGE009,0,Negligible,6.0,25.6,3,Low-Moderate,6.6,37.0,48
ROC002,0,Negligible,5.6,9.5,1,Very Low,3.3,7.0,7
AEG-3635 Alpine Dr,0,Negligible,5.0,5.0,0,Negligible,7.0,7.0,1
HAR001,0,Negligible,4.9,15.9,2,Low,3.9,25.0,16
WAS006,0,Negligible,3.4,9.5,1,Very Low,1.6,7.0,64
TOQ002,0,Negligible,3.1,5.1,0,Negligible,5.5,18.0,4
ROC004,0,Negligible,2.6,5.5,0,Negligible,0.9,4.0,30
SR-Shargri La,0,Negligible,1.8,1.8,0,Negligible,0.0,0.0,1
