year,cdc_week,site,total_mosquitoes,trap_date,week_start,temp_avg_f,temp_max_f,temp_min_f,rh_avg,wind_avg_mph,precip_in
2025,34,AEG-1053 Eclipse Dr.,2.0,2025-08-20,2025-08-18,90.28,107.0,70.0,21.51,6.22,0.02
2025,33,AEG-1194 W. 220 N Cir.,81.0,2025-08-13,2025-08-11,89.0,108.0,70.0,20.38,8.13,0.23
2025,28,AEG-1901 E 10 N Cir,2.0,2025-07-08,2025-07-07,91.55,108.0,70.0,13.12,6.7,0.0
2025,30,AEG-1901 E. 10 N.,3.0,2025-07-22,2025-07-21,84.17,99.0,68.0,14.91,7.65,0.15
2025,35,AEG-1949 E. 10 N.,1.0,2025-08-27,2025-08-25,78.8,80.0,77.0,47.6,4.8,0.0
2025,31,AEG-203 N. 2410 E. STG,33.0,2025-08-01,2025-07-28,87.29,104.0,68.0,10.27,7.41,0.0
2025,28,AEG-233 Shadow Point,23.0,2025-07-09,2025-07-07,91.55,108.0,70.0,13.12,6.7,0.0
2025,29,AEG-2386 E. 630 N.,3.0,2025-07-18,2025-07-14,89.86,109.0,73.0,24.03,8.79,0.0
2025,31,AEG-2990 E. Riverside Dr. #250 STG,21.0,2025-07-29,2025-07-28,87.29,104.0,68.0,10.27,7.41,0.0
2025,31,AEG-3169 Canyon View Dr. SC,1.0,2025-07-31,2025-07-28,87.29,104.0,68.0,10.27,7.41,0.0
2025,28,AEG-3635 Alpine Dr,2.0,2025-07-08,2025-07-07,91.55,108.0,70.0,13.12,6.7,0.0
2025,29,AEG-3635 Alpine Dr,7.0,2025-07-15,2025-07-14,89.86,109.0,73.0,24.03,8.79,0.0
2025,31,AEG-474 N. 2000 E. STG,7.0,2025-08-01,2025-07-28,87.29,104.0,68.0,10.27,7.41,0.0
2025,28,AEG-508 E 300 S,13.0,2025-07-08,2025-07-07,91.55,108.0,70.0,13.12,6.7,0.0
2025,28,AEG-508 E. 200 S. STG,45.0,2025-07-11,2025-07-07,91.55,108.0,70.0,13.12,6.7,0.0
2025,32,AEG-508 E. 300 S.,22.0,2025-08-04,2025-08-04,90.86,108.0,74.0,10.49,8.59,0.0
2025,33,AEG-574 N. 2330 E. STG,6.0,2025-08-13,2025-08-11,89.0,108.0,70.0,20.38,8.13,0.23
2025,35,AEG-574 N. 2330 E. STG,30.0,2025-08-25,2025-08-25,78.8,80.0,77.0,47.6,4.8,0.0
