site,year,cdc_week,week_start,total_mosquitoes,predicted_count,risk_level,risk_label
AEG-3635 Alpine Dr,2025,29,2025-07-14,7.0,5.0,0,Negligible
AEG-574 N. 2330 E. STG,2025,35,2025-08-25,30.0,8.9,10,Outbreak
APV001,2019,25,2019-06-17,2.0,2.0,0,Negligible
APV001,2019,29,2019-07-15,33.0,33.0,3,Low-Moderate
APV001,2019,32,2019-08-05,30.0,30.0,3,Low-Moderate
APV001,2019,34,2019-08-19,22.0,22.0,3,Low-Moderate
APV001,2020,29,2020-07-13,3.0,3.0,0,Negligible
APV001,2020,32,2020-08-03,8.0,8.0,0,Negligible
APV001,2020,34,2020-08-17,11.0,11.0,1,Very Low
APV001,2021,22,2021-05-24,2.0,2.0,0,Negligible
APV001,2021,31,2021-07-26,5.0,5.0,0,Negligible
APV001,2022,24,2022-06-13,2.0,2.0,0,Negligible
APV001,2022,25,2022-06-20,0.0,0.0,0,Negligible
APV001,2022,29,2022-07-18,1.0,1.0,0,Negligible
APV001,2022,34,2022-08-22,96.0,96.0,6,Elevated
APV001,2023,33,2023-08-14,28.0,47.5,4,Moderate
APV001,2024,25,2024-06-17,0.0,18.8,2,Low
APV001,2024,31,2024-07-29,6.0,1.6,0,Negligible
APV001,2025,34,2025-08-18,15.0,8.7,10,Outbreak
AVA001,2018,20,2018-05-14,1.0,1.0,0,Negligible
AVA001,2018,23,2018-06-04,7.0,7.0,0,Negligible
AVA001,2018,25,2018-06-18,3.0,3.0,0,Negligible
AVA001,2018,27,2018-07-02,13.0,13.0,1,Very Low
AVA001,2018,32,2018-08-06,13.0,13.0,1,Very Low
AVA001,2018,33,2018-08-13,24.0,24.0,3,Low-Moderate
AVA001-Ex,2018,33,2018-08-13,14.0,14.0,1,Very Low
ENT001,2018,32,2018-08-06,1.0,1.0,0,Negligible
ENT002,2018,32,2018-08-06,29.0,29.0,3,Low-Moderate
ENT003,2018,25,2018-06-18,25.0,25.0,3,Low-Moderate
ENT003,2019,27,2019-07-01,34.0,34.0,3,Low-Moderate
ENT003,2019,32,2019-08-05,182.0,182.0,7,High
ENT003,2019,34,2019-08-19,31.0,31.0,3,Low-Moderate
ENT003,2020,30,2020-07-20,19.0,19.0,2,Low
ENT003,2020,32,2020-08-03,11.0,11.0,1,Very Low
ENT003,2020,35,2020-08-24,75.0,75.0,5,Moderate-High
ENT003,2021,22,2021-05-24,2.0,2.0,0,Negligible
ENT003,2021,28,2021-07-05,20.0,20.0,2,Low
ENT003,2021,35,2021-08-23,23.0,23.0,3,Low-Moderate
ENT003,2022,23,2022-06-06,39.0,39.0,3,Low-Moderate
ENT003,2022,26,2022-06-27,10.0,10.0,1,Very Low
ENT003,2022,35,2022-08-29,29.0,29.0,3,Low-Moderate
ENT003,2023,25,2023-06-19,1.0,23.8,3,Low-Moderate
ENT003,2023,33,2023-08-14,1.0,2.8,0,Negligible
ENT003,2024,26,2024-06-24,19.0,2.6,0,Negligible
ENT003,2025,31,2025-07-28,7.0,19.2,2,Low
ENT003,2025,33,2025-08-11,9.0,9.6,1,Very Low
ENT004,2018,25,2018-06-18,12.0,12.0,1,Very Low
ENT004,2019,27,2019-07-01,14.0,14.0,1,Very Low
ENT004,2019,32,2019-08-05,370.0,370.0,10,Outbreak
ENT004,2019,33,2019-08-05,6.0,6.0,0,Negligible
ENT004,2019,34,2019-08-19,31.0,31.0,3,Low-Moderate
ENT004,2020,30,2020-07-20,70.0,70.0,5,Moderate-High
ENT004,2020,32,2020-08-03,17.0,17.0,2,Low
ENT004,2020,35,2020-08-24,106.0,106.0,6,Elevated
ENT004,2021,22,2021-05-24,0.0,0.0,0,Negligible
ENT004,2021,28,2021-07-05,65.0,65.0,5,Moderate-High
ENT004,2022,23,2022-06-06,18.0,18.0,2,Low
ENT004,2022,35,2022-08-29,38.0,38.0,3,Low-Moderate
ENT004,2023,25,2023-06-19,16.0,28.3,3,Low-Moderate
ENT004,2023,33,2023-08-14,29.0,13.8,1,Very Low
ENT004,2024,26,2024-06-24,41.0,19.2,2,Low
EX-Mall Dr. Bridge,2025,30,2025-07-21,50.0,49.3,4,Moderate
EX-Mall Dr. Bridge,2025,32,2025-08-04,27.0,31.8,3,Low-Moderate
EX-Mall Dr. Bridge,2025,34,2025-08-18,72.0,24.0,3,Low-Moderate
EX-Mall Dr. Bridge,2025,35,2025-08-25,47.0,42.8,4,Moderate
HAR001,2018,14,2018-04-02,0.0,0.0,0,Negligible
HAR001,2018,15,2018-04-09,0.0,0.0,0,Negligible
HAR001,2018,16,2018-04-16,2.0,2.0,0,Negligible
HAR001,2018,17,2018-04-23,0.0,0.0,0,Negligible
HAR001,2018,19,2018-05-07,1.0,1.0,0,Negligible
HAR001,2018,20,2018-05-14,2.0,2.0,0,Negligible
HAR001,2018,21,2018-05-21,0.0,0.0,0,Negligible
HAR001,2018,22,2018-05-28,0.0,0.0,0,Negligible
HAR001,2018,23,2018-06-04,1.0,1.0,0,Negligible
HAR001,2018,24,2018-06-11,0.0,0.0,0,Negligible
HAR001,2018,25,2018-06-18,1.0,1.0,0,Negligible
HAR001,2018,26,2018-06-25,0.0,0.0,0,Negligible
HAR001,2018,27,2018-07-02,1.0,1.0,0,Negligible
HAR001,2018,28,2018-07-09,0.0,0.0,0,Negligible
HAR001,2018,29,2018-07-16,1.0,1.0,0,Negligible
HAR001,2018,30,2018-07-23,1.0,1.0,0,Negligible
HAR001,2018,31,2018-07-30,2.0,2.0,0,Negligible
HAR001,2018,32,2018-08-06,2.0,2.0,0,Negligible
HAR001,2018,33,2018-08-13,1.0,1.0,0,Negligible
HAR001,2018,35,2018-08-27,3.0,3.0,0,Negligible
HAR001,2019,23,2019-06-03,4.0,4.0,0,Negligible
HAR001,2019,24,2019-06-10,3.0,3.0,0,Negligible
HAR001,2019,25,2019-06-17,4.0,4.0,0,Negligible
HAR001,2019,26,2019-06-24,6.0,6.0,0,Negligible
HAR001,2019,27,2019-07-01,0.0,0.0,0,Negligible
HAR001,2019,28,2019-07-08,0.0,0.0,0,Negligible
HAR001,2019,29,2019-07-15,0.0,0.0,0,Negligible
HAR001,2019,30,2019-07-22,0.0,0.0,0,Negligible
HAR001,2019,31,2019-07-29,0.0,0.0,0,Negligible
HAR001,2019,32,2019-08-05,0.0,0.0,0,Negligible
HAR001,2019,33,2019-08-12,0.0,0.0,0,Negligible
HAR001,2020,21,2020-05-18,1.0,1.0,0,Negligible
HAR001,2022,35,2022-08-29,8.0,8.0,0,Negligible
HAR001,2023,18,2023-05-01,2.0,10.5,1,Very Low
HAR001,2023,20,2023-05-15,16.0,2.8,0,Negligible
HAR001,2023,21,2023-05-22,12.0,12.3,1,Very Low
HAR001,2023,23,2023-06-05,1.0,10.6,1,Very Low
HAR001,2023,24,2023-06-12,1.0,2.6,0,Negligible
HAR001,2023,26,2023-06-26,0.0,2.3,0,Negligible
HAR001,2023,27,2023-07-03,0.0,1.6,0,Negligible
HAR001,2023,28,2023-07-10,0.0,1.8,0,Negligible
HAR001,2023,29,2023-07-17,0.0,2.0,0,Negligible
HAR001,2023,30,2023-07-24,0.0,2.1,0,Negligible
HAR001,2023,32,2023-08-07,0.0,1.9,0,Negligible
HAR001,2023,33,2023-08-14,0.0,1.5,0,Negligible
HAR001,2023,35,2023-08-28,5.0,1.3,0,Negligible
HAR001,2023,36,2023-09-04,25.0,8.2,10,Outbreak
HAR001,2024,21,2024-05-20,0.0,15.9,2,Low
HAR001,2024,33,2024-08-12,0.0,1.2,0,Negligible
HAR001-EX,2023,38,2023-09-18,2.0,36.6,3,Low-Moderate
HAR001-EX,2023,39,2023-09-25,0.0,3.0,0,Negligible
HAR001-EX,2023,40,2023-10-02,2.0,1.0,0,Negligible
HAR001-EX,2023,41,2023-10-09,0.0,2.8,0,Negligible
HAR002,2020,23,2020-06-01,2.0,2.0,0,Negligible
HIL001,2018,32,2018-08-06,54.0,54.0,4,Moderate
HIL001,2020,32,2020-08-03,3.0,3.0,0,Negligible
HIL002,2018,23,2018-06-04,68.0,68.0,5,Moderate-High
HIL002,2018,25,2018-06-18,34.0,34.0,3,Low-Moderate
HIL002,2018,27,2018-07-02,37.0,37.0,3,Low-Moderate
HIL002,2019,25,2019-06-17,20.0,20.0,2,Low
HIL002,2019,29,2019-07-15,29.0,29.0,3,Low-Moderate
HIL002,2019,32,2019-08-05,42.0,42.0,4,Moderate
HIL002,2019,34,2019-08-19,21.0,21.0,2,Low
HIL002,2020,29,2020-07-13,9.0,9.0,1,Very Low
HIL002,2021,22,2021-05-24,2.0,2.0,0,Negligible
HIL002,2021,31,2021-07-26,10.0,10.0,1,Very Low
HIL002,2022,24,2022-06-13,1.0,1.0,0,Negligible
HIL002,2022,25,2022-06-20,0.0,0.0,0,Negligible
HIL002,2022,29,2022-07-18,2.0,2.0,0,Negligible
HIL002,2022,34,2022-08-22,96.0,96.0,6,Elevated
HIL002,2023,33,2023-08-14,31.0,47.5,4,Moderate
HIL002,2024,25,2024-06-17,87.0,20.1,2,Low
HIL002,2024,31,2024-07-29,52.0,45.5,4,Moderate
HIL002,2025,26,2025-06-23,13.0,34.4,3,Low-Moderate
HILDALE SR,2020,34,2020-08-17,0.0,0.0,0,Negligible
HUR0002,2021,41,2021-10-04,20.0,20.0,2,Low
HUR002,2018,14,2018-04-02,0.0,0.0,0,Negligible
HUR002,2018,15,2018-04-09,0.0,0.0,0,Negligible
HUR002,2018,16,2018-04-16,1.0,1.0,0,Negligible
HUR002,2018,17,2018-04-23,3.0,3.0,0,Negligible
HUR002,2018,19,2018-05-07,2.0,2.0,0,Negligible
HUR002,2018,20,2018-05-14,1.0,1.0,0,Negligible
HUR002,2018,21,2018-05-21,7.0,7.0,0,Negligible
HUR002,2018,22,2018-05-28,3.0,3.0,0,Negligible
HUR002,2018,23,2018-06-04,7.0,7.0,0,Negligible
HUR002,2018,24,2018-06-11,2.0,2.0,0,Negligible
HUR002,2018,25,2018-06-18,0.0,0.0,0,Negligible
HUR002,2018,26,2018-06-25,0.0,0.0,0,Negligible
HUR002,2018,27,2018-07-02,0.0,0.0,0,Negligible
HUR002,2018,28,2018-07-09,9.0,9.0,1,Very Low
