site,date,species,count,year,wnv,wee,sle,area,lat,lon
WAS008,2016-02-17,AnFre,1.0,2016,,,,WAS,37.15,-113.47
SGE003,2016-03-02,CxTar,1.0,2016,,,,SGE,37.1177,-113.5582
SGE003,2016-03-02,AnFre,1.0,2016,,,,SGE,37.1177,-113.5582
SGE007,2016-03-02,CxTar,1.0,2016,,,,SGE,37.085,-113.565
SGE009,2016-03-02,CxTar,5.0,2016,False,False,,SGE,37.09,-113.62
WAS008,2016-03-02,CxTar,10.0,2016,False,False,,WAS,37.15,-113.47
SGE009,2016-03-09,CxTar,9.0,2016,False,False,,SGE,37.09,-113.62
SCL001,2016-03-16,CxTar,1.0,2016,,,,SCL,37.137,-113.653
SGE009,2016-03-16,CxTar,1.0,2016,,,,SGE,37.09,-113.62
SGE009,2016-03-16,OcDor,1.0,2016,,,,SGE,37.09,-113.62
WAS008,2016-03-16,CxTar,1.0,2016,,,,WAS,37.15,-113.47
IVI002,2016-03-22,CxTar,1.0,2016,,,,IVI,37.1649,-113.6794
WAS001,2016-03-22,CxTar,4.0,2016,,,,WAS,37.129,-113.505
WAS008,2016-03-24,CxTar,3.0,2016,,,,WAS,37.15,-113.47
WAS008,2016-03-24,CxEry,2.0,2016,,,,WAS,37.15,-113.47
SGE007,2016-03-29,CxEry,1.0,2016,,,,SGE,37.085,-113.565
WAS001,2016-03-29,CxTar,1.0,2016,,,,WAS,37.129,-113.505
IVI002,2016-04-05,CxTar,3.0,2016,,,,IVI,37.1649,-113.6794
IVI003,2016-04-05,CxTar,1.0,2016,,,,IVI,37.168,-113.686
SCL001,2016-04-05,CxTar,1.0,2016,,,,SCL,37.137,-113.653
SGE007,2016-04-05,CxEry,1.0,2016,,,,SGE,37.085,-113.565
SGE001,2016-04-06,CxTar,2.0,2016,,,,SGE,37.1041,-113.5841
SGE002,2016-04-06,CxTar,6.0,2016,False,False,,SGE,37.0977,-113.5685
SGE003,2016-04-06,CxTar,1.0,2016,,,,SGE,37.1177,-113.5582
SGE008,2016-04-06,CxTar,1.0,2016,,,,SGE,37.1041,-113.5841
SGE009,2016-04-06,CxTar,2.0,2016,,,,SGE,37.09,-113.62
SGE009,2016-04-06,OcDor,1.0,2016,,,,SGE,37.09,-113.62
HAR001,2016-04-07,CuInc,3.0,2016,,,,HAR,37.1753,-113.2892
VIR001,2016-04-07,CxEry,1.0,2016,,,,VIR,37.2167,-113.25
VIR001,2016-04-07,CuIno,2.0,2016,,,,VIR,37.2167,-113.25
VIR001,2016-04-07,CuIno,1.0,2016,,,,VIR,37.2167,-113.25
VIR004,2016-04-07,CxTar,2.0,2016,,,,VIR,37.2167,-113.25
WAS008,2016-04-07,CxTar,53.0,2016,False,False,,WAS,37.15,-113.47
WAS008,2016-04-07,CxTar,1.0,2016,,,,WAS,37.15,-113.47
IVI003,2016-04-12,CxTar,3.0,2016,,,,IVI,37.168,-113.686
IVI003,2016-04-12,CuInc,1.0,2016,,,,IVI,37.168,-113.686
SCL001,2016-04-12,CxTar,23.0,2016,False,False,,SCL,37.137,-113.653
SCL004,2016-04-12,CxTar,1.0,2016,,,,SCL,37.149,-113.66
SGE007,2016-04-12,CxTar,1.0,2016,,,,SGE,37.085,-113.565
SGE010,2016-04-12,CxTar,2.0,2016,,,,SGE,37.1041,-113.5841
WAS001,2016-04-12,CxTar,1.0,2016,,,,WAS,37.129,-113.505
SGE001,2016-04-13,CxTar,3.0,2016,,,,SGE,37.1041,-113.5841
SGE002,2016-04-13,CxTar,6.0,2016,False,False,,SGE,37.0977,-113.5685
SGE003,2016-04-13,CxTar,2.0,2016,,,,SGE,37.1177,-113.5582
SGE003,2016-04-13,CxPip/Qui,1.0,2016,,,,SGE,37.1177,-113.5582
SGE008,2016-04-13,CxTar,1.0,2016,,,,SGE,37.1041,-113.5841
SGE009,2016-04-13,CuIno,1.0,2016,,,,SGE,37.09,-113.62
SGE009,2016-04-13,OcDor,6.0,2016,,,,SGE,37.09,-113.62
TOQ001,2016-04-14,CxTar,1.0,2016,,,,TOQ,37.2437,-113.3014
TOQ002,2016-04-14,CxTar,1.0,2016,,,,TOQ,37.243,-113.297
VIR001,2016-04-14,CxEry,1.0,2016,,,,VIR,37.2167,-113.25
VIR004,2016-04-14,CxTar,1.0,2016,,,,VIR,37.2167,-113.25
WAS008,2016-04-14,CxTar,53.0,2016,False,False,,WAS,37.15,-113.47
WAS008,2016-04-14,CxEry,4.0,2016,,,,WAS,37.15,-113.47
WAS008,2016-04-14,AnFre,1.0,2016,,,,WAS,37.15,-113.47
IVI002,2016-04-19,CxTar,2.0,2016,,,,IVI,37.1649,-113.6794
IVI003,2016-04-19,CxTar,1.0,2016,,,,IVI,37.168,-113.686
SCL001,2016-04-19,CxTar,18.0,2016,False,False,,SCL,37.137,-113.653
