site,area,lat,lon,total_mosquitoes,trap_events,wnv_positives,wee_positives,sle_positives,top_species,last_active,first_active,years_active,any_positive
SGE003,SGE,37.1177,-113.5582,41671.0,1592,13,0,9,CxEry,2025-11-11,2016-03-02,10,True
SGE017,SGE,37.135,-113.605,30710.0,929,0,0,0,CxEry,2025-12-09,2020-07-14,6,False
WAS002,WAS,37.135,-113.515,26550.0,1094,5,0,4,CxTar,2025-10-10,2016-05-11,10,True
WAS008,WAS,37.15,-113.47,26334.0,1585,3,0,0,CxTar,2025-11-25,2016-02-17,10,True
SGE013,SGE,37.135,-113.578,20157.0,872,2,0,0,CxEry,2025-12-17,2017-04-18,9,True
WAS001,WAS,37.129,-113.505,12245.0,648,2,0,0,AeVex,2025-09-16,2016-03-22,9,True
SCL004,SCL,37.149,-113.66,10162.0,1153,2,0,0,CxEry,2025-12-17,2016-04-12,10,True
SGE007,SGE,37.085,-113.565,8945.0,660,0,0,1,CxEry,2025-11-04,2016-03-02,10,True
HUR009,HUR,37.16,-113.295,7724.0,391,0,0,0,PsSig,2025-09-23,2017-04-27,9,False
WAS009,WAS,37.125,-113.57,7509.0,734,2,0,2,CxTar,2025-05-14,2020-05-20,6,True
SGE002,SGE,37.0977,-113.5685,6889.0,1012,2,0,0,CxTar,2025-12-17,2016-04-06,10,True
WAS011,WAS,37.1,-113.48,6820.0,273,3,0,0,CxTar,2025-12-17,2022-02-10,4,True
SGE014,SGE,37.092,-113.582,6132.0,1004,3,0,1,CxTar,2025-11-25,2017-04-18,9,True
LAV001,LAV,37.197,-113.274,6092.0,528,0,0,0,CxTar,2025-11-11,2016-05-12,10,False
SGE009,SGE,37.09,-113.62,5704.0,813,7,0,3,CxTar,2025-07-22,2016-03-02,10,True
NHA003,NHA,37.486,-113.321,5603.0,361,0,0,0,CxEry,2025-10-01,2020-08-11,6,False
HUR008,HUR,37.175,-113.3,4792.0,406,0,0,0,CxTar,2025-09-30,2016-04-20,10,False
IVI001,IVI,37.1649,-113.6794,4450.0,819,0,0,0,CxTar,2023-10-24,2017-04-18,7,False
SCL001,SCL,37.137,-113.653,4353.0,741,0,0,0,CxTar,2025-09-30,2016-03-16,10,False
VIR008,VIR,37.202,-113.254,4286.0,281,0,0,0,CxEry,2025-11-11,2023-05-23,3,False
SGE009-2,SGE,37.088,-113.622,4199.0,665,6,0,1,CxTar,2025-10-29,2017-04-19,9,True
IVI003,IVI,37.168,-113.686,4160.0,218,0,0,0,CxEry,2025-10-10,2016-04-05,3,False
SPR002,SPR,37.188,-113.327,3201.0,923,0,0,0,CxTar,2025-10-10,2016-06-30,10,False
VIR001,VIR,37.2167,-113.25,3107.0,294,0,0,0,CxEry,2019-06-26,2016-04-07,4,False
SGE015,SGE,37.075,-113.52,3055.0,339,2,0,0,CxTar,2025-09-30,2019-05-14,7,True
NHA001,NHA,37.496,-113.3168,2963.0,230,0,0,0,CxEry,2023-09-07,2016-07-21,7,False
SGE003-2,SGE,37.116,-113.556,2693.0,114,0,0,0,CxTar,2025-11-11,2017-04-19,3,False
SGE016,SGE,37.1041,-113.5841,2651.0,571,7,0,1,CxTar,2025-09-16,2019-07-16,7,True
SGE017-EX,SGE,37.1041,-113.5841,2371.0,47,0,0,0,CxEry,2025-03-26,2021-05-07,4,False
SCL005,SCL,37.14,-113.65,1911.0,525,0,0,0,CxTar,2025-09-16,2017-04-12,9,False
NHA003-1,NHA,37.496,-113.3168,1811.0,71,0,0,0,CxEry,2023-07-27,2022-07-13,2,False
HUR010,HUR,37.1753,-113.2892,1601.0,235,1,0,0,CxTar,2019-08-14,2017-04-27,3,True
VIR006,VIR,37.2167,-113.25,1565.0,246,0,0,0,CxTar,2023-05-16,2019-07-31,5,False
SGE008-2,SGE,37.143,-113.525,1485.0,274,0,0,0,CxTar,2025-09-30,2017-04-26,7,False
SGE018,SGE,37.07,-113.535,1472.0,161,1,0,0,CxTar,2025-09-16,2020-07-14,4,True
WAS006,WAS,37.13,-113.48,1321.0,325,0,0,0,CxPip/Qui,2025-09-16,2016-06-07,10,False
HUR007,HUR,37.172,-113.31,1321.0,241,0,0,0,CxTar,2025-11-04,2016-05-11,10,False
TOQ002,TOQ,37.243,-113.297,1303.0,217,0,0,0,CxTar,2025-08-26,2016-04-14,8,False
SGE010,SGE,37.1041,-113.5841,1277.0,303,0,0,0,CxTar,2023-05-16,2016-04-12,8,False
ROC002,ROC,37.168,-113.35,1180.0,284,0,0,0,CxTar,2025-09-16,2016-05-12,9,False
WAS010,WAS,37.1301,-113.5085,1142.0,86,0,0,0,CxEry,2021-12-14,2021-06-08,1,False
SGE003-HOR,SGE,37.1041,-113.5841,1130.0,18,0,0,0,CxEry,2018-08-01,2018-08-01,1,False
SR-54 Shadow Mtn,SR,37.1041,-113.5841,1044.0,51,0,0,0,CxPip/Qui,2024-09-17,2024-07-09,1,False
IVI002,IVI,37.1649,-113.6794,962.0,273,0,0,0,CxTar,2020-05-19,2016-03-22,5,False
NHA003-2,NHA,37.496,-113.3168,928.0,37,0,0,0,CxEry,2023-07-27,2022-07-13,2,False
HUR002,HUR,37.1753,-113.2892,914.0,139,0,0,0,CxTar,2021-09-22,2016-05-11,5,False
WAS005,WAS,37.14,-113.49,892.0,300,0,0,0,CxEry,2025-08-26,2017-06-14,9,False
LEE003,LEE,37.23,-113.36,881.0,189,0,0,0,CxTar,2025-10-01,2020-08-19,6,False
LEE002,LEE,37.2394,-113.3603,846.0,230,0,0,0,CxTar,2020-08-12,2016-04-21,5,False
ENT004,ENT,37.5727,-113.7229,833.0,73,0,0,0,CxTar,2024-06-26,2018-06-21,7,False
SGE001,SGE,37.1041,-113.5841,777.0,214,0,0,0,CxTar,2018-08-29,2016-04-06,3,False
SCL002,SCL,37.134,-113.6541,650.0,180,0,0,0,CxTar,2019-09-18,2017-04-25,2,False
NHA003-BRIDGE,NHA,37.496,-113.3168,609.0,28,0,0,0,CxEry,2022-09-28,2022-08-03,1,False
HIL002,HIL,37.001,-112.996,587.0,73,0,0,0,CxTar,2025-06-25,2017-08-10,9,False
ENT003,ENT,37.568,-113.722,537.0,87,0,0,0,AnFra,2025-08-13,2018-06-21,8,False
TOQ001,TOQ,37.2437,-113.3014,533.0,199,0,0,0,CxTar,2023-05-23,2016-04-14,6,False
SR-176 Shadow Pt,SR,37.1041,-113.5841,527.0,54,0,0,0,CxPip/Qui,2024-09-13,2024-07-03,1,False
SGE017 Ex 2,SGE,37.1041,-113.5841,526.0,7,0,0,0,CxEry,2022-03-24,2022-03-24,1,False
SGE012,SGE,37.1041,-113.5841,514.0,156,2,0,0,CxTar,2018-08-29,2016-05-25,3,True
NHA003-SWAMP,NHA,37.496,-113.3168,505.0,30,0,0,0,CxEry,2022-09-28,2022-08-03,1,False
VIR004,VIR,37.2167,-113.25,497.0,160,0,0,0,CxTar,2023-09-19,2016-04-07,5,False
SR-WAS,SR,37.1041,-113.5841,470.0,5,0,0,0,CxPip/Qui,2018-06-08,2018-06-08,1,False
NHA003-SR,NHA,37.496,-113.3168,436.0,12,0,0,0,CxEry,2022-07-06,2022-07-06,1,False
HUR009-EX,HUR,37.1753,-113.2892,353.0,8,0,0,0,OcNig,2020-09-16,2020-09-11,1,False
WAS002-EX,WAS,37.1301,-113.5085,318.0,26,0,0,0,CxTar,2024-07-23,2016-10-27,2,False
SGE011,SGE,37.1041,-113.5841,281.0,119,0,0,0,CxTar,2018-08-21,2016-04-27,3,False
HUR009-Ex,HUR,37.1753,-113.2892,277.0,4,0,0,0,PsSig,2018-09-06,2018-09-06,1,False
APV001,APV,37.135,-113.128,264.0,44,0,0,0,AnFra,2025-08-20,2019-06-20,7,False
NHA004,NHA,37.487,-113.322,237.0,12,0,0,0,CxTar,2021-07-29,2019-08-14,2,False
HAR001,HAR,37.1753,-113.2892,228.0,116,0,0,0,CxTar,2023-09-07,2016-04-07,7,False
NHA002,NHA,37.485,-113.32,227.0,87,0,0,0,CxTar,2025-07-09,2016-07-21,9,False
SR-54 Shadow Mtn Brown,SR,37.1041,-113.5841,196.0,4,0,0,0,CxPip/Qui,2024-08-26,2024-08-26,1,False
VIR007,VIR,37.2167,-113.25,188.0,16,0,0,0,CxTar,2022-09-27,2022-09-20,1,False
NHA003-EX,NHA,37.496,-113.3168,185.0,12,0,0,0,CxEry,2022-06-01,2021-05-07,2,False
SR-176 Shadow Pt Lori Jennings,SR,37.1041,-113.5841,152.0,5,0,0,0,CxPip/Qui,2024-08-26,2024-08-26,1,False
SGE003-DAM,SGE,37.1041,-113.5841,146.0,5,0,0,0,CxEry,2018-08-01,2018-08-01,1,False
SR STG,SR,37.1041,-113.5841,140.0,3,0,0,0,CxPip/Qui,2017-08-28,2017-08-28,1,False
SR 54 Shadow Pt. Brooke Brown,SR,37.1041,-113.5841,137.0,9,0,0,0,CxPip/Qui,2024-10-14,2024-10-04,1,False
SCL006,SCL,37.134,-113.6541,135.0,56,0,0,0,CxTar,2023-07-04,2022-02-10,2,False
SR-HAR001-5,SR,37.1041,-113.5841,133.0,41,0,0,0,AeAeg,2022-10-27,2022-09-13,1,False
SR 545 E 200 S Evelyn,SR,37.1041,-113.5841,120.0,17,0,0,0,AeAeg,2024-10-14,2024-09-23,1,False
SR-Judy's Pond,SR,37.1041,-113.5841,102.0,11,0,0,0,CxTar,2025-06-25,2024-07-31,2,False
SR-176 Shadow Pt.,SR,37.1041,-113.5841,99.0,5,0,0,0,CxPip/Qui,2024-08-26,2024-08-26,1,False
SR- 54 Shadow Mtn,SR,37.1041,-113.5841,99.0,4,0,0,0,CxPip/Qui,2024-08-26,2024-08-26,1,False
SR- HILDALE,SR,37.1041,-113.5841,98.0,6,0,0,0,CxTar,2024-06-20,2024-06-20,1,False
HAR001-EX,HAR,37.1753,-113.2892,95.0,10,0,0,0,CuIno,2023-10-05,2023-09-15,1,False
SGE003-3,SGE,37.1041,-113.5841,88.0,4,0,0,0,CxTar,2023-08-22,2023-08-22,1,False
AEG-639 N. 2000 E,AEG,37.1357,-113.1269,85.0,4,0,0,0,AeAeg,2025-07-23,2025-07-23,1,False
SR 54 Shadow Mtn. Brown,SR,37.1041,-113.5841,85.0,8,0,0,0,CxPip/Qui,2024-09-27,2024-09-20,1,False
SR-545 E 200 S,SR,37.1041,-113.5841,84.0,14,0,0,0,CxPip/Qui,2024-09-19,2024-09-06,1,False
SR-HAR001-3,SR,37.1041,-113.5841,83.0,29,0,0,0,AeAeg,2022-10-18,2022-09-02,1,False
SR-ROC,SR,37.1041,-113.5841,82.0,4,0,0,0,CxTar,2021-09-21,2021-09-14,1,False
SR-HAR001-4,SR,37.1041,-113.5841,81.0,38,0,0,0,AeAeg,2022-10-20,2022-09-02,1,False
AEG-1194 W. 220 N Cir.,AEG,37.1357,-113.1269,81.0,3,0,0,0,CxPip/Qui,2025-08-13,2025-08-13,1,False
ENT002,ENT,37.5727,-113.7229,80.0,14,0,0,0,CxTar,2018-08-08,2016-07-21,2,False
SR,SR,37.1041,-113.5841,79.0,13,0,0,0,CxPip/Qui,2017-07-18,2017-06-15,1,False
SR 176 Shadow Point Lori Jennings,SR,37.1041,-113.5841,69.0,11,0,0,0,CxPip/Qui,2024-10-14,2024-10-04,1,False
SGE008,SGE,37.1041,-113.5841,67.0,34,0,0,0,CxTar,2016-10-19,2016-04-06,1,False
SR-HAR001-1,SR,37.1041,-113.5841,61.0,30,0,0,0,AeAeg,2022-10-20,2022-09-13,1,False
HIL001,HIL,37.0013,-112.9979,57.0,8,0,0,0,CxTar,2020-08-05,2018-08-09,2,False
SR-RIO VIRGIN,SR,37.1041,-113.5841,55.0,13,0,0,0,AnFre,2019-07-03,2019-06-28,1,False
SGE017 Ex 1,SGE,37.1041,-113.5841,52.0,3,0,0,0,CxEry,2022-03-31,2022-03-24,1,False
SR-Hildale,SR,37.1041,-113.5841,50.0,8,0,0,0,CxTar,2023-08-17,2023-08-17,1,False
SGE013-Extra,SGE,37.1041,-113.5841,49.0,1,0,0,0,CxEry,2021-04-13,2021-04-13,1,False
SR STG. 100 W,SR,37.1041,-113.5841,48.0,16,0,0,0,CxPip/Qui,2020-09-04,2020-09-01,1,False
AEG-508 E. 200 S. STG,AEG,37.1357,-113.1269,45.0,2,0,0,0,CxPip/Qui,2025-07-11,2025-07-11,1,False
SR 176 Shadow Pt. Lori,SR,37.1041,-113.5841,40.0,13,0,0,0,CxPip/Qui,2024-09-27,2024-09-20,1,False
SR-Mule Field,SR,37.1041,-113.5841,38.0,3,0,0,0,CxTar,2024-07-17,2024-07-17,1,False
SR-159 Shadow Pt,SR,37.1041,-113.5841,37.0,10,0,0,0,AeAeg,2024-08-26,2024-08-15,1,False
SGE009-EX,SGE,37.1041,-113.5841,37.0,6,0,0,0,OcDor,2018-05-10,2016-05-26,2,False
AEG-574 N. 2330 E. STG,AEG,37.1357,-113.1269,36.0,5,0,0,0,CxPip/Qui,2025-08-25,2025-08-13,1,False
AEG-203 N. 2410 E. STG,AEG,37.1357,-113.1269,33.0,2,0,0,0,AeAeg,2025-08-01,2025-08-01,1,False
SGE016-2,SGE,37.1041,-113.5841,32.0,10,0,0,0,CxTar,2019-10-01,2019-09-10,1,False
SR-SPR,SR,37.1041,-113.5841,32.0,24,0,0,0,AeAeg,2021-10-20,2021-08-31,1,False
SR-MIDDLETON,SR,37.1041,-113.5841,32.0,3,0,0,0,CxTar,2020-05-27,2020-05-27,1,False
SR-SGE,SR,37.1041,-113.5841,30.0,6,0,0,0,CxTar,2021-09-22,2021-09-22,1,False
SR-SPR1,SR,37.1041,-113.5841,29.0,2,0,0,0,AeAeg,2021-08-27,2021-08-27,1,False
SR-176 Shadow Mtn,SR,37.1041,-113.5841,29.0,4,0,0,0,CxPip/Qui,2024-09-17,2024-09-17,1,False
ROC004,ROC,37.17,-113.352,29.0,23,0,0,0,CuIno,2025-07-22,2023-05-23,3,False
SGE002-EX,SGE,37.1041,-113.5841,27.0,5,0,0,0,CxTar,2016-07-22,2016-07-22,1,False
WAS009-EX,WAS,37.1301,-113.5085,26.0,6,0,0,1,CxTar,2023-09-12,2023-09-12,1,True
SR HUR,SR,37.1041,-113.5841,26.0,8,0,0,0,CxTar,2017-08-29,2017-08-29,1,False
AEG-Carson Gardner 2149 10 S.,AEG,37.1357,-113.1269,25.0,4,0,0,0,AeAeg,2025-10-14,2025-10-06,1,False
SR-ALLEN LEE'S,SR,37.1041,-113.5841,24.0,6,0,0,0,AeVex,2019-07-03,2019-07-03,1,False
SR-SPR2,SR,37.1041,-113.5841,24.0,4,0,0,0,CxPip/Qui,2021-08-27,2021-08-27,1,False
SR-ROCKVILLE,SR,37.1041,-113.5841,23.0,2,0,0,0,AeVex,2022-10-04,2022-10-04,1,False
AEG-233 Shadow Point,AEG,37.1357,-113.1269,23.0,2,0,0,0,AeAeg,2025-07-09,2025-07-09,1,False
AEG-508 E. 300 S.,AEG,37.1357,-113.1269,22.0,3,0,0,0,CxPip/Qui,2025-08-04,2025-08-04,1,False
HUR008-SR,HUR,37.1753,-113.2892,22.0,5,0,0,0,OcNig,2018-08-28,2018-08-28,1,False
AEG-2990 E. Riverside Dr. #250 STG,AEG,37.1357,-113.1269,21.0,4,0,0,0,CxTar,2025-07-29,2025-07-29,1,False
HUR0002,HUR,37.1753,-113.2892,20.0,6,0,0,0,CxTar,2021-10-05,2021-10-05,1,False
SR-HAR001,SR,37.1041,-113.5841,20.0,9,0,0,0,AeAeg,2022-09-06,2022-09-02,1,False
HUR008-EX,HUR,37.1753,-113.2892,20.0,4,0,0,0,OcNig,2018-08-30,2018-08-30,1,False
AEG-526 N. 2360 E. SG.,AEG,37.1357,-113.1269,18.0,5,0,0,0,CxPip/Qui,2025-10-15,2025-09-29,1,False
SR-EX-MID,SR,37.1041,-113.5841,16.0,4,0,0,0,CxPip/Qui,2023-10-20,2023-10-20,1,False
SR N VV,SR,37.1041,-113.5841,16.0,4,0,0,0,CxTar,2016-06-24,2016-06-24,1,False
SR-STG,SR,37.1041,-113.5841,15.0,6,0,0,0,CxTar,2018-05-22,2017-09-07,2,False
SR-HAR001-2,SR,37.1041,-113.5841,15.0,10,0,0,0,CxTar,2022-09-09,2022-09-02,1,False
SR-SGE016,SR,37.1041,-113.5841,15.0,6,0,0,0,AnFre,2023-08-29,2023-08-29,1,False
AEG-508 E 300 S,AEG,37.1357,-113.1269,13.0,3,0,0,0,CxPip/Qui,2025-07-08,2025-07-08,1,False
SR-1042 W. 100 N. Shadow MTN,SR,37.1041,-113.5841,13.0,5,0,0,0,AeAeg,2024-09-03,2024-08-30,1,False
NHA003-3,NHA,37.496,-113.3168,13.0,3,0,0,0,CxTar,2023-08-09,2023-08-09,1,False
SR-SPR6,SR,37.1041,-113.5841,12.0,2,0,0,0,AeAeg,2021-08-27,2021-08-27,1,False
SR-Cabinet Tech,SR,37.1041,-113.5841,12.0,4,0,0,0,CxTar,2019-09-04,2019-09-04,1,False
SPR-SR,SPR,37.1887,-113.3273,10.0,2,0,0,0,CxTar,2020-06-03,2020-06-03,1,False
SR 635 N 2000 E,SR,37.1041,-113.5841,10.0,3,0,0,0,CxPip/Qui,2024-09-23,2024-09-23,1,False
SR-DIVERSION DAM,SR,37.1041,-113.5841,9.0,5,0,0,0,AnFra,2020-08-25,2020-08-25,1,False
AEG-3635 Alpine Dr,AEG,37.1357,-113.1269,9.0,4,0,0,0,AeAeg,2025-07-15,2025-07-08,1,False
SR4,SR,37.1041,-113.5841,9.0,4,0,0,0,CxThr,2020-09-11,2020-09-11,1,False
AEG-474 N. 2000 E. STG,AEG,37.1357,-113.1269,7.0,4,0,0,0,AeAeg,2025-08-01,2025-08-01,1,False
AEG-835 N. 1900 E. STG,AEG,37.1357,-113.1269,7.0,3,0,0,0,CxPip/Qui,2025-08-08,2025-08-08,1,False
SR-Josh Aikens,SR,37.1041,-113.5841,6.0,2,0,0,0,CxPip/Qui,2024-08-26,2024-08-26,1,False
AEG-3856 Madison Ave,AEG,37.1357,-113.1269,4.0,3,0,0,0,CxPip/Qui,2025-09-04,2025-09-04,1,False
SR-Middleton,SR,37.1041,-113.5841,4.0,3,0,0,0,CxTar,2023-06-29,2023-06-29,1,False
SR-STG 100 W,SR,37.1041,-113.5841,4.0,3,0,0,0,AeAeg,2020-08-28,2020-08-28,1,False
AEG-1901 E. 10 N.,AEG,37.1357,-113.1269,3.0,2,0,0,0,AeAeg,2025-07-22,2025-07-22,1,False
SR- ENT SPRG CRK,SR,37.1041,-113.5841,3.0,3,0,0,0,CxTar,2024-06-26,2024-06-26,1,False
AEG-2386 E. 630 N.,AEG,37.1357,-113.1269,3.0,2,0,0,0,AeAeg,2025-07-18,2025-07-18,1,False
HAR002,HAR,37.1753,-113.2892,2.0,2,0,0,0,OcVar,2020-06-03,2020-06-03,1,False
AEG-1901 E 10 N Cir,AEG,37.1357,-113.1269,2.0,1,0,0,0,AeAeg,2025-07-08,2025-07-08,1,False
SGE003-Extra,SGE,37.1041,-113.5841,2.0,2,0,0,0,CxTar,2021-04-13,2021-04-13,1,False
SR2,SR,37.1041,-113.5841,2.0,2,0,0,0,CxTar,2020-09-11,2020-09-11,1,False
AEG-1053 Eclipse Dr.,AEG,37.1357,-113.1269,2.0,2,0,0,0,AeAeg,2025-08-20,2025-08-20,1,False
HUR007-EX,HUR,37.1753,-113.2892,1.0,1,0,0,0,CxTar,2016-05-05,2016-05-05,1,False
ENT001,ENT,37.5727,-113.7229,1.0,1,0,0,0,CxTar,2018-08-08,2018-08-08,1,False
SR-ENTRADA,SR,37.1041,-113.5841,1.0,1,0,0,0,CxTar,2021-06-15,2021-06-15,1,False
SR-Heidi Wright,SR,37.1041,-113.5841,1.0,1,0,0,0,CxPip/Qui,2019-08-14,2019-08-14,1,False
AEG-Adrian Player,AEG,37.1357,-113.1269,1.0,1,0,0,0,CuInc,2025-09-30,2025-09-30,1,False
AEG-67 Reflection Way STG,AEG,37.1357,-113.1269,1.0,1,0,0,0,CxPip/Qui,2025-07-22,2025-07-22,1,False
AEG-1949 E. 10 N.,AEG,37.1357,-113.1269,1.0,1,0,0,0,AeAeg,2025-08-27,2025-08-27,1,False
WAS008-Ex,WAS,37.1301,-113.5085,1.0,1,0,0,0,CxTar,2019-01-31,2019-01-31,1,False
SR-SPR4,SR,37.1041,-113.5841,1.0,1,0,0,0,CxTar,2021-08-27,2021-08-27,1,False
SR STG. 500 S,SR,37.1041,-113.5841,1.0,1,0,0,0,CxPip/Qui,2020-09-04,2020-09-04,1,False
SR-SPR5,SR,37.1041,-113.5841,1.0,1,0,0,0,AeAeg,2021-08-27,2021-08-27,1,False
AEG-3169 Canyon View Dr. SC,AEG,37.1357,-113.1269,1.0,1,0,0,0,AeAeg,2025-07-31,2025-07-31,1,False
