date,temp,precip,precip_7d,rh,wind,weather_risk
2018-01-01 23:59:00,41.0,0.0,0.0,,1.6,0.001
2018-01-02 23:59:00,40.0,0.0,0.0,,1.9,0.0011
2018-01-03 23:59:00,43.0,0.0,0.0,,1.7,0.001
2018-01-04 23:59:00,44.0,0.0,0.0,,1.1,0.0007
2018-01-05 23:59:00,48.0,0.0,0.0,,1.2,0.0007
2018-01-06 23:59:00,50.0,0.0,0.0,,2.7,0.0016
2018-01-07 23:59:00,48.0,0.0,0.0,,3.3,0.002
2018-01-08 23:59:00,42.0,0.04,0.04,,2.7,0.0064
2018-01-09 23:59:00,46.0,1.03,1.07,,4.0,0.0624
2018-01-10 23:59:00,47.0,0.02,1.09,,9.1,0.0655
2018-01-11 23:59:00,46.0,0.0,1.09,,1.7,0.061
2018-01-12 23:59:00,44.0,0.0,1.09,,1.3,0.0608
2018-01-13 23:59:00,45.0,0.0,1.09,,2.7,0.0616
2018-01-14 23:59:00,48.0,0.0,1.09,,1.8,0.0611
2018-01-15 23:59:00,49.0,0.0,1.05,,1.6,0.061
2018-01-16 23:59:00,47.0,0.0,0.02,,2.4,0.0038
2018-01-17 23:59:00,48.0,0.0,0.0,,1.7,0.001
2018-01-18 23:59:00,46.0,0.0,0.0,,2.7,0.0016
2018-01-19 23:59:00,52.0,0.0,0.0,,2.4,0.0014
2018-01-20 23:59:00,46.0,0.18,0.18,,9.4,0.0272
2018-01-21 23:59:00,40.0,0.0,0.18,,6.5,0.0255
2018-01-22 23:59:00,36.0,0.0,0.18,,1.8,0.0227
2018-01-23 23:59:00,38.0,0.0,0.18,,1.1,0.0223
2018-01-24 23:59:00,43.0,0.0,0.18,,2.7,0.0232
2018-01-25 23:59:00,49.0,0.0,0.18,,10.1,0.0277
2018-01-26 23:59:00,43.0,0.0,0.18,,2.5,0.0231
2018-01-27 23:59:00,41.0,0.0,0.0,,1.5,0.0009
2018-01-28 23:59:00,46.0,0.0,0.0,,3.2,0.0019
2018-01-29 23:59:00,49.0,0.0,0.0,,2.4,0.0014
2018-01-30 23:59:00,50.0,0.0,0.0,,2.3,0.0014
2018-01-31 23:59:00,,0.0,0.0,,1.2,
2018-02-01 23:59:00,50.0,0.0,0.0,,0.4,0.0002
2018-02-02 23:59:00,54.0,0.0,0.0,,1.5,0.0009
2018-02-03 23:59:00,53.0,0.0,0.0,,1.7,0.001
2018-02-04 23:59:00,54.0,0.0,0.0,,2.6,0.0016
2018-02-05 23:59:00,55.0,0.0,0.0,,3.5,0.0021
2018-02-06 23:59:00,52.0,0.0,0.0,,7.1,0.0043
2018-02-07 23:59:00,50.0,0.0,0.0,,3.2,0.0019
2018-02-08 23:59:00,52.0,0.0,0.0,,2.1,0.0013
2018-02-09 23:59:00,53.0,0.0,0.0,,2.5,0.0015
2018-02-10 23:59:00,54.0,0.0,0.0,,10.3,0.0062
2018-02-11 23:59:00,43.0,0.0,0.0,,7.4,0.0044
2018-02-12 23:59:00,46.0,0.3,0.3,,6.4,0.0398
2018-02-13 23:59:00,47.0,0.26,0.56,,2.0,0.0612
2018-02-14 23:59:00,50.0,0.03,0.59,,4.3,0.0626
2018-02-15 23:59:00,,0.0,0.59,,0.0,
2018-02-16 23:59:00,42.0,0.0,0.59,,2.7,0.0616
2018-02-17 23:59:00,46.0,0.0,0.59,,1.3,0.0608
2018-02-18 23:59:00,47.0,0.0,0.59,,7.8,0.0647
2018-02-19 23:59:00,45.0,0.0,0.29000000000000004,,17.2,0.0451
2018-02-20 23:59:00,35.0,0.0,0.03,,4.3,0.0062
2018-02-21 23:59:00,36.0,0.0,0.0,,2.9,0.0017
2018-02-22 23:59:00,39.0,0.0,0.0,,8.2,0.0049
2018-02-23 23:59:00,37.0,0.05,0.05,,4.7,0.0088
2018-02-24 23:59:00,34.0,0.0,0.05,,3.8,0.0083
2018-02-25 23:59:00,40.0,0.0,0.05,,4.7,0.0088
2018-02-26 23:59:00,43.0,0.0,0.05,,6.0,0.0096
2018-02-27 23:59:00,45.0,0.0,0.05,,8.6,0.0112
2018-02-28 23:59:00,44.0,0.0,0.05,,8.7,0.0112
2018-03-01 23:59:00,47.0,0.0,0.05,,5.8,0.0095
2018-03-02 23:59:00,54.0,0.0,0.0,,14.7,0.0088
2018-03-03 23:59:00,53.0,0.03,0.03,,12.5,0.0111
2018-03-04 23:59:00,46.0,0.0,0.03,,10.8,0.0101
2018-03-05 23:59:00,42.0,0.0,0.03,,3.4,0.0056
2018-03-06 23:59:00,46.0,0.0,0.03,,4.3,0.0062
2018-03-07 23:59:00,44.0,0.0,0.03,,1.7,0.0046
2018-03-08 23:59:00,51.0,0.0,0.03,,2.1,0.0049
2018-03-09 23:59:00,54.0,0.0,0.03,,3.8,0.0059
2018-03-10 23:59:00,53.0,0.01,0.01,,3.1,0.0031
2018-03-11 23:59:00,55.0,0.35,0.36,,3.5,0.0453
2018-03-12 23:59:00,56.0,0.0,0.36,,2.6,0.0448
2018-03-13 23:59:00,60.0,0.0,0.36,,3.1,0.0451
2018-03-14 23:59:00,65.0,0.0,0.36,,14.0,0.0516
2018-03-15 23:59:00,47.0,0.05,0.41,,7.5,0.0537
2018-03-16 23:59:00,48.0,0.0,0.41,,6.5,0.0531
2018-03-17 23:59:00,50.0,0.0,0.39999999999999997,,12.8,0.0557
2018-03-18 23:59:00,49.0,0.0,0.05,,11.4,0.0128
2018-03-19 23:59:00,49.0,0.0,0.05,,3.3,0.008
2018-03-20 23:59:00,51.0,0.0,0.05,,3.5,0.0081
2018-03-21 23:59:00,59.0,0.0,0.05,,4.6,0.0088
2018-03-22 23:59:00,63.0,0.0,0.0,,10.4,0.0062
2018-03-23 23:59:00,59.0,0.12,0.12,,5.7,0.0178
2018-03-24 23:59:00,58.0,0.0,0.12,,10.5,0.0207
2018-03-25 23:59:00,53.0,0.0,0.12,,8.6,0.0196
2018-03-26 23:59:00,49.0,0.0,0.12,,11.3,0.0212
2018-03-27 23:59:00,51.0,0.0,0.12,,7.3,0.0188
2018-03-29 23:59:00,59.0,0.0,0.12,,3.5,0.0165
2018-03-30 23:59:00,62.0,0.0,0.12,,5.6,0.0178
2018-03-31 23:59:00,65.0,0.0,0.0,,3.5,0.0021
2018-04-01 23:59:00,68.0,0.0,0.0,,4.4,0.0604
2018-04-02 23:59:00,64.0,0.0,0.0,,9.6,0.0058
2018-04-03 23:59:00,58.0,0.0,0.0,,7.8,0.0047
2018-04-04 23:59:00,59.0,0.0,0.0,,3.4,0.002
2018-04-05 23:59:00,67.0,0.0,0.0,,5.8,0.042
2018-04-06 23:59:00,72.0,0.0,0.0,,6.9,0.1389
2018-04-07 23:59:00,72.0,0.21,0.21,,5.7,0.1634
2018-04-08 23:59:00,64.0,0.0,0.21,,10.0,0.0312
2018-04-09 23:59:00,63.0,0.0,0.21,,8.6,0.0304
2018-04-10 23:59:00,67.0,0.0,0.21,,3.0,0.0655
2018-04-12 23:59:00,64.0,0.0,0.21,,24.8,0.0372
2018-04-13 23:59:00,56.0,0.0,0.21,,14.2,0.0337
2018-04-14 23:59:00,58.0,0.0,0.21,,4.7,0.028
2018-04-15 23:59:00,62.0,0.0,0.0,,5.2,0.0031
2018-04-16 23:59:00,68.0,0.0,0.0,,22.7,0.0697
2018-04-17 23:59:00,57.0,0.0,0.0,,11.5,0.0069
2018-04-18 23:59:00,58.0,0.0,0.0,,6.8,0.0041
2018-04-19 23:59:00,61.0,0.04,0.04,,15.5,0.0141
2018-04-20 23:59:00,56.0,0.03,0.07,,7.0,0.0126
2018-04-21 23:59:00,62.0,0.0,0.07,,4.7,0.0112
2018-04-22 23:59:00,69.0,0.0,0.07,,4.8,0.0883
2018-04-23 23:59:00,70.0,0.0,0.07,,5.8,0.1081
2018-04-24 23:59:00,73.0,0.0,0.07,,9.6,0.1682
2018-04-25 23:59:00,72.0,0.0,0.07,,5.7,0.1466
2018-04-26 23:59:00,75.0,0.0,0.03,,6.3,0.1999
2018-04-27 23:59:00,77.0,0.0,0.0,,9.6,0.2368
2018-04-28 23:59:00,77.0,0.0,0.0,,14.4,0.2396
2018-04-29 23:59:00,70.0,0.0,0.0,,10.5,0.1026
2018-04-30 23:59:00,64.0,0.0,0.0,,10.1,0.0061
2018-05-01 23:59:00,58.0,0.1,0.1,,6.9,0.0161
2018-05-02 23:59:00,55.0,0.2,0.30000000000000004,,4.7,0.0388
2018-05-03 23:59:00,60.0,0.0,0.30000000000000004,,3.8,0.0383
2018-05-04 23:59:00,68.0,0.0,0.30000000000000004,,2.5,0.0952
2018-05-05 23:59:00,73.0,0.0,0.30000000000000004,,4.2,0.1925
2018-05-06 23:59:00,78.0,0.0,0.30000000000000004,,6.4,0.2901
2018-05-07 23:59:00,79.0,0.0,0.30000000000000004,,4.1,0.308
2018-05-08 23:59:00,79.0,0.0,0.2,,4.9,0.2964
2018-05-09 23:59:00,82.0,0.0,0.0,,6.1,0.3309
2018-05-10 23:59:00,82.0,0.0,0.0,,9.5,0.3329
2018-05-11 23:59:00,76.0,0.0,0.0,,18.1,0.2226
2018-05-12 23:59:00,64.0,0.0,0.0,,8.7,0.0052
2018-05-13 23:59:00,67.0,0.0,0.0,,7.4,0.0429
2018-05-14 23:59:00,71.0,0.0,0.0,,8.6,0.1207
2018-05-15 23:59:00,71.0,0.0,0.0,,6.8,0.1196
2018-05-16 23:59:00,74.0,0.0,0.0,,10.1,0.1793
2018-05-17 23:59:00,72.0,0.0,0.0,,9.0,0.1401
2018-05-18 23:59:00,72.0,0.0,0.0,,6.9,0.1389
2018-05-19 23:59:00,77.0,0.0,0.0,,7.7,0.2356
2018-05-20 23:59:00,76.0,0.0,0.0,,7.2,0.2161
2018-05-21 23:59:00,74.0,0.0,0.0,,8.2,0.1782
2018-05-22 23:59:00,74.0,0.02,0.02,,10.0,0.1817
2018-05-23 23:59:00,74.0,0.0,0.02,,7.0,0.1799
2018-05-24 23:59:00,77.0,0.0,0.02,,8.1,0.2383
2018-05-25 23:59:00,78.0,0.0,0.02,,10.2,0.2588
2018-05-26 23:59:00,72.0,0.0,0.02,,11.1,0.1438
2018-05-27 23:59:00,71.0,0.0,0.02,,6.9,0.122
2018-05-28 23:59:00,73.0,0.0,0.02,,7.1,0.1607
2018-05-29 23:59:00,77.0,0.0,0.0,,5.1,0.2341
2018-05-30 23:59:00,82.0,0.0,0.0,,9.5,0.3329
2018-05-31 23:59:00,80.0,0.0,0.0,,16.2,0.2985
2018-06-01 23:59:00,78.0,0.0,0.0,,7.7,0.2549
2018-06-02 23:59:00,84.0,0.0,0.0,,10.5,0.372
2018-06-03 23:59:00,84.0,0.0,0.0,,6.3,0.3695
2018-06-04 23:59:00,86.0,0.0,0.0,,8.6,0.4094
2018-06-05 23:59:00,86.0,0.0,0.0,,9.8,0.4101
2018-06-06 23:59:00,83.0,0.0,0.0,,10.2,0.3526
2018-06-07 23:59:00,83.0,0.0,0.0,,10.4,0.3527
2018-06-08 23:59:00,83.0,0.0,0.0,,8.1,0.3514
2018-06-09 23:59:00,84.0,0.0,0.0,,12.9,0.3735
2018-06-10 23:59:00,81.0,0.0,0.0,,8.2,0.3129
2018-06-11 23:59:00,83.0,0.0,0.0,,6.2,0.3502
2018-06-12 23:59:00,85.0,0.0,0.0,,6.3,0.3888
2018-06-13 23:59:00,85.0,0.0,0.0,,5.9,0.3885
2018-06-14 23:59:00,90.0,0.0,0.0,,9.3,0.4868
2018-06-15 23:59:00,87.0,0.0,0.0,,17.3,0.4339
2018-06-16 23:59:00,83.0,0.0,0.0,,14.0,0.3549
2018-06-17 23:59:00,82.0,0.0,0.0,,16.4,0.3371
2018-06-18 23:59:00,78.0,0.0,0.0,,8.5,0.2554
2018-06-19 23:59:00,80.0,0.0,0.0,,5.1,0.2918
2018-06-20 23:59:00,86.0,0.0,0.0,,5.0,0.4073
2018-06-21 23:59:00,89.0,0.0,0.0,,8.4,0.467
2018-06-22 23:59:00,89.0,0.0,0.0,,7.8,0.4667
2018-06-23 23:59:00,89.0,0.0,0.0,,10.2,0.4681
2018-06-24 23:59:00,91.0,0.0,0.0,,8.8,0.5058
2018-06-26 23:59:00,90.0,0.0,0.0,,7.7,0.4859
2018-06-27 23:59:00,88.0,0.0,0.0,,7.2,0.4471
2018-06-28 23:59:00,89.0,0.0,0.0,,12.9,0.4697
2018-06-29 23:59:00,86.0,0.0,0.0,,9.8,0.4101
2018-06-30 23:59:00,,0.0,0.0,,7.6,
2018-07-01 23:59:00,87.0,0.0,0.0,,5.9,0.427
2018-07-02 23:59:00,89.0,0.0,0.0,,9.2,0.4675
2018-07-03 23:59:00,89.0,0.0,0.0,,12.2,0.4693
2018-07-04 23:59:00,88.0,0.0,0.0,,9.9,0.4487
2018-07-05 23:59:00,89.0,0.0,0.0,,7.4,0.4664
2018-07-06 23:59:00,91.0,0.0,0.0,,7.7,0.5051
2018-07-07 23:59:00,95.0,0.0,0.0,,9.3,0.5831
2018-07-08 23:59:00,94.0,0.0,0.0,,8.9,0.5636
2018-07-09 23:59:00,94.0,0.0,0.0,,8.8,0.5635
2018-07-10 23:59:00,86.0,0.01,0.01,,9.3,0.411
2018-07-11 23:59:00,88.0,0.0,0.01,,9.5,0.4496
2018-07-12 23:59:00,82.0,0.01,0.02,,7.3,0.334
2018-07-13 23:59:00,82.0,0.0,0.02,,5.1,0.3327
2018-07-14 23:59:00,85.0,0.0,0.02,,5.4,0.3906
2018-07-15 23:59:00,88.0,0.0,0.02,,6.6,0.4491
2018-07-16 23:59:00,92.0,0.0,0.02,,6.7,0.5262
2018-07-17 23:59:00,94.0,0.0,0.01,,11.0,0.5661
2018-07-18 23:59:00,91.0,0.0,0.01,,8.2,0.5066
2018-07-19 23:59:00,89.0,0.01,0.01,,10.0,0.4692
2018-07-20 23:59:00,86.0,0.0,0.01,,5.6,0.4088
2018-07-21 23:59:00,88.0,0.0,0.01,,9.2,0.4495
2018-07-23 23:59:00,93.0,0.0,0.01,,5.6,0.5436
2018-07-24 23:59:00,95.0,0.0,0.01,,7.8,0.5834
2018-07-25 23:59:00,93.0,0.0,0.01,,6.6,0.5442
2018-07-26 23:59:00,93.0,0.0,0.01,,7.5,0.5447
2018-07-27 23:59:00,92.0,0.0,0.0,,6.9,0.5239
2018-07-28 23:59:00,95.0,0.0,0.0,,11.0,0.5841
2018-07-29 23:59:00,93.0,0.0,0.0,,8.7,0.5442
2018-07-30 23:59:00,93.0,0.0,0.0,,7.0,0.5432
2018-07-31 23:59:00,,0.0,0.0,,6.5,
2018-08-01 23:59:00,93.0,0.0,0.0,,7.9,0.5437
2018-08-02 23:59:00,89.0,0.29,0.29,,12.2,0.5041
2018-08-03 23:59:00,85.0,0.0,0.29,,4.1,0.4223
2018-08-04 23:59:00,91.0,0.0,0.29,,6.6,0.5393
2018-08-05 23:59:00,92.0,0.0,0.29,,8.4,0.5596
2018-08-06 23:59:00,87.0,0.0,0.29,,4.9,0.4612
2018-08-07 23:59:00,89.0,0.0,0.29,,5.5,0.5001
